Currency,Date,Open,High,Low,Close
CAD,09/04/2018,1.2773,1.2819,1.2688,1.2706
CAD,06/04/2018,1.2775,1.2796,1.2734,1.2782
CAD,05/04/2018,1.2794,1.2811,1.2746,1.2775
CAD,04/04/2018,1.2792,1.2848,1.2775,1.2794
CAD,03/04/2018,1.2915,1.2944,1.2782,1.2792
CAD,02/04/2018,1.2898,1.2931,1.2863,1.2915
CAD,30/03/2018,1.2883,1.2903,1.2815,1.2865
CAD,28/03/2018,1.2865,1.2933,1.2859,1.2892
CAD,27/03/2018,1.2883,1.2903,1.2815,1.2865
CAD,26/03/2018,1.2891,1.2922,1.2841,1.2883
CAD,23/03/2018,1.2903,1.2949,1.2824,1.2895
CAD,22/03/2018,1.2953,1.2971,1.283,1.2903
CAD,21/03/2018,1.3075,1.3087,1.2946,1.2953
CAD,20/03/2018,1.3064,1.3103,1.3053,1.3075
CAD,19/03/2018,1.3096,1.3125,1.3047,1.3064
CAD,16/03/2018,1.3043,1.3099,1.3043,1.3096
CAD,15/03/2018,1.2929,1.3065,1.2929,1.3043
CAD,14/03/2018,1.2937,1.2984,1.2921,1.2929
CAD,13/03/2018,1.2836,1.2947,1.2822,1.2937
CAD,12/03/2018,1.2825,1.2841,1.2803,1.2836
CAD,09/03/2018,1.2953,1.2959,1.281,1.2812
CAD,08/03/2018,1.2975,1.2988,1.2868,1.2953
CAD,07/03/2018,1.2898,1.3001,1.2876,1.2975
CAD,06/03/2018,1.2978,1.3001,1.2863,1.2898
CAD,05/03/2018,1.2875,1.2989,1.2868,1.2978
CAD,01/03/2018,1.2872,1.2916,1.2809,1.2882
CAD,28/02/2018,1.2737,1.2823,1.2732,1.2812
CAD,27/02/2018,1.2686,1.2762,1.2668,1.2737
CAD,26/02/2018,1.2643,1.2712,1.2615,1.2686
CAD,23/02/2018,1.2707,1.2726,1.2621,1.2633
CAD,22/02/2018,1.2666,1.2755,1.2626,1.2707
CAD,21/02/2018,1.2626,1.2683,1.2626,1.2666
CAD,20/02/2018,1.2559,1.2629,1.2557,1.2626
CAD,16/02/2018,1.2546,1.2592,1.2526,1.2559
CAD,15/02/2018,1.2553,1.2553,1.2466,1.2509
CAD,14/02/2018,1.2602,1.2649,1.2533,1.2553
CAD,12/02/2018,1.2613,1.2625,1.2567,1.2602
CAD,09/02/2018,1.2593,1.2685,1.2561,1.2581
CAD,08/02/2018,1.2568,1.2614,1.2547,1.2593
CAD,07/02/2018,1.2514,1.2575,1.2492,1.2568
CAD,06/02/2018,1.2489,1.2567,1.2486,1.2514
CAD,05/02/2018,1.2424,1.25,1.2398,1.2489
CAD,02/02/2018,1.2289,1.2436,1.2256,1.2429
CAD,01/02/2018,1.2317,1.2333,1.2269,1.2289
CAD,31/01/2018,1.233,1.2348,1.2251,1.2317
CAD,29/01/2018,1.2314,1.2361,1.2304,1.2336
CAD,25/01/2018,1.2321,1.2391,1.2293,1.2308
CAD,24/01/2018,1.2461,1.2461,1.2318,1.2364
CAD,23/01/2018,1.2461,1.2491,1.2431,1.2461
CAD,22/01/2018,1.2503,1.2518,1.2435,1.2461
CAD,19/01/2018,1.2439,1.2508,1.24,1.2493
CAD,18/01/2018,1.2404,1.2487,1.2372,1.2439
CAD,17/01/2018,1.2426,1.2521,1.2378,1.2404
CAD,16/01/2018,1.2413,1.2453,1.2397,1.2426
CAD,15/01/2018,1.2468,1.2474,1.2403,1.2413
CAD,12/01/2018,1.2527,1.2561,1.2458,1.2459
CAD,11/01/2018,1.2481,1.259,1.2481,1.2527
CAD,10/01/2018,1.2462,1.2494,1.2428,1.2481
CAD,09/01/2018,1.2423,1.2478,1.2398,1.2462
CAD,08/01/2018,1.2415,1.245,1.2379,1.2423
CAD,05/01/2018,1.2508,1.2516,1.2356,1.2412
CAD,04/01/2018,1.2537,1.2555,1.2505,1.2508
CAD,03/01/2018,1.2508,1.2547,1.25,1.2537
CAD,02/01/2018,1.2574,1.2577,1.25,1.2508
CAD,01/01/2018,1.2592,1.2594,1.2515,1.2571
CAD,28/12/2017,1.2643,1.2661,1.258,1.2592
CAD,27/12/2017,1.2695,1.2697,1.2628,1.2643
CAD,26/12/2017,1.2731,1.2765,1.2678,1.2695
CAD,22/12/2017,1.2721,1.2796,1.2658,1.273
CAD,20/12/2017,1.2886,1.2896,1.2819,1.2841
CAD,19/12/2017,1.2854,1.292,1.2851,1.2886
CAD,18/12/2017,1.2875,1.2881,1.2843,1.2854
CAD,15/12/2017,1.2783,1.2895,1.2714,1.2866
CAD,14/12/2017,1.2866,1.2875,1.2782,1.2783
CAD,12/12/2017,1.2854,1.2892,1.2813,1.2881
CAD,11/12/2017,1.2856,1.2869,1.2831,1.2854
CAD,08/12/2017,1.2822,1.288,1.2806,1.2848
CAD,07/12/2017,1.279,1.2868,1.2786,1.2822
CAD,06/12/2017,1.2701,1.2807,1.2653,1.279
CAD,05/12/2017,1.2702,1.2708,1.2624,1.2701
CAD,04/12/2017,1.2696,1.2727,1.2657,1.2702
CAD,30/11/2017,1.2901,1.2906,1.2684,1.2685
CAD,29/11/2017,1.2806,1.2874,1.28,1.2859
CAD,28/11/2017,1.2767,1.2825,1.2755,1.2806
CAD,27/11/2017,1.2719,1.2769,1.268,1.2767
CAD,24/11/2017,1.2713,1.2748,1.2694,1.2712
CAD,23/11/2017,1.2729,1.2737,1.2673,1.2713
CAD,22/11/2017,1.2772,1.2788,1.2716,1.2729
CAD,21/11/2017,1.2788,1.2837,1.2749,1.2772
CAD,20/11/2017,1.2766,1.2808,1.275,1.2788
CAD,17/11/2017,1.274,1.2824,1.2714,1.2763
CAD,15/11/2017,1.2741,1.2789,1.2713,1.278
CAD,14/11/2017,1.2726,1.2773,1.2701,1.2741
CAD,13/11/2017,1.2685,1.2742,1.2668,1.2726
CAD,10/11/2017,1.2679,1.2696,1.2666,1.2682
CAD,09/11/2017,1.2727,1.2741,1.2673,1.2679
CAD,08/11/2017,1.2783,1.2801,1.2716,1.2727
CAD,07/11/2017,1.2728,1.282,1.2703,1.2783
CAD,06/11/2017,1.2768,1.2783,1.2723,1.2728
CAD,03/11/2017,1.2679,1.2696,1.2666,1.2682
CAD,02/11/2017,1.2882,1.2889,1.2806,1.2814
CAD,31/10/2017,1.2837,1.2915,1.2819,1.2898
CAD,30/10/2017,1.2815,1.2861,1.2812,1.2837
CAD,27/10/2017,1.2841,1.2917,1.2808,1.2808
CAD,26/10/2017,1.2803,1.2848,1.2782,1.2841
CAD,25/10/2017,1.2678,1.2817,1.264,1.2803
CAD,24/10/2017,1.2643,1.2682,1.2622,1.2678
CAD,23/10/2017,1.2473,1.263,1.2468,1.2627
CAD,18/10/2017,1.2473,1.263,1.2468,1.2627
CAD,17/10/2017,1.2525,1.2591,1.2513,1.2556
CAD,16/10/2017,1.2477,1.2558,1.247,1.2525
CAD,13/10/2017,1.2477,1.249,1.2471,1.2483
CAD,12/10/2017,1.25,1.2505,1.2433,1.2484
CAD,11/10/2017,1.2496,1.2531,1.2488,1.25
CAD,10/10/2017,1.2538,1.2555,1.2484,1.2496
CAD,09/10/2017,1.2533,1.2559,1.2526,1.2538
CAD,06/10/2017,1.2556,1.2598,1.2526,1.2529
CAD,05/10/2017,1.2482,1.2557,1.2462,1.2556
CAD,04/10/2017,1.2489,1.2499,1.2449,1.2482
CAD,03/10/2017,1.2512,1.2539,1.2483,1.2489
CAD,29/09/2017,1.2473,1.2525,1.2468,1.2512
CAD,28/09/2017,1.2425,1.2519,1.2417,1.2438
CAD,27/09/2017,1.2384,1.2432,1.2331,1.2425
CAD,26/09/2017,1.2346,1.2413,1.2345,1.2384
CAD,25/09/2017,1.2337,1.2369,1.2313,1.2346
CAD,22/09/2017,1.2329,1.2351,1.2256,1.2339
CAD,21/09/2017,1.2256,1.239,1.22,1.2329
CAD,20/09/2017,1.2277,1.2302,1.2236,1.2256
CAD,19/09/2017,1.2233,1.2338,1.2223,1.2277
CAD,18/09/2017,1.2189,1.2246,1.2172,1.2233
CAD,15/09/2017,1.2203,1.2218,1.2122,1.2198
CAD,14/09/2017,1.2216,1.2239,1.2161,1.2203
CAD,13/09/2017,1.2163,1.222,1.2131,1.2216
CAD,12/09/2017,1.2126,1.2181,1.2083,1.2163
CAD,11/09/2017,1.216,1.217,1.2098,1.2126
CAD,08/09/2017,1.2145,1.2165,1.2062,1.2159
CAD,07/09/2017,1.2229,1.2244,1.2119,1.2145
CAD,06/09/2017,1.2373,1.2415,1.2146,1.2229
CAD,05/09/2017,1.2408,1.2418,1.2336,1.2373
CAD,04/09/2017,1.2397,1.2429,1.2376,1.2408
CAD,01/09/2017,1.2526,1.2527,1.2341,1.2394
CAD,31/08/2017,1.2616,1.2663,1.251,1.2526
CAD,30/08/2017,1.2526,1.2637,1.2501,1.2616
CAD,29/08/2017,1.2493,1.2539,1.2442,1.2526
CAD,28/08/2017,1.2472,1.2502,1.2444,1.2493
CAD,24/08/2017,1.2526,1.254,1.2466,1.2481
