Currency,Date,Open,High,Low,Close
="JPY",="13/08/2019",="105.33",="106.98",="105.07",="106.57",
="JPY",="09/08/2019",="105.58",="105.69",="105.05",="105.33",
="JPY",="08/08/2019",="105.82",="106.3",="105.79",="106.22",
="JPY",="07/08/2019",="106.42",="106.62",="105.5",="105.82",
="JPY",="06/08/2019",="105.9",="107.09",="105.52",="106.42",
="JPY",="05/08/2019",="106.59",="106.68",="105.79",="105.9",
="JPY",="02/08/2019",="108.14",="108.17",="106.51",="106.59",
="JPY",="31/07/2019",="108.62",="108.66",="108.49",="108.59",
="JPY",="30/07/2019",="108.85",="108.95",="108.45",="108.62",
="JPY",="29/07/2019",="108.68",="108.9",="108.42",="108.85",
="JPY",="26/07/2019",="108.71",="108.83",="108.56",="108.68",
="JPY",="25/07/2019",="108.13",="108.72",="108.04",="108.71",
="JPY",="24/07/2019",="108.17",="108.29",="107.94",="108.13",
="JPY",="23/07/2019",="107.88",="108.29",="107.77",="108.17",
="JPY",="22/07/2019",="107.79",="108.07",="107.7",="107.88",
="JPY",="19/07/2019",="107.83",="107.98",="107.21",="107.71",
="JPY",="18/07/2019",="108.09",="108.11",="107.62",="107.83",
="JPY",="17/07/2019",="108.27",="108.37",="108.06",="108.09",
="JPY",="16/07/2019",="107.87",="108.38",="107.82",="108.27",
="JPY",="15/07/2019",="107.9",="108.11",="107.8",="107.87",
="JPY",="12/07/2019",="108.46",="108.61",="107.81",="107.91",
="JPY",="11/07/2019",="108.41",="108.48",="107.86",="108.46",
="JPY",="10/07/2019",="108.81",="108.99",="108.4",="108.41",
="JPY",="09/07/2019",="108.68",="108.96",="108.65",="108.81",
="JPY",="08/07/2019",="108.43",="108.73",="108.28",="108.68",
="JPY",="05/07/2019",="107.79",="108.64",="107.77",="108.47",
="JPY",="04/07/2019",="107.83",="107.89",="107.71",="107.79",
="JPY",="03/07/2019",="107.88",="107.92",="107.53",="107.83",
="JPY",="02/07/2019",="108.48",="108.49",="107.77",="107.88",
="JPY",="28/06/2019",="107.74",="107.94",="107.56",="107.85",
="JPY",="27/06/2019",="107.67",="108.16",="107.65",="107.74",
="JPY",="26/06/2019",="107.24",="107.76",="107.06",="107.67",
="JPY",="25/06/2019",="107.34",="107.41",="106.78",="107.24",
="JPY",="24/06/2019",="107.39",="107.54",="107.25",="107.34",
="JPY",="21/06/2019",="107.35",="107.74",="107.05",="107.32",
="JPY",="20/06/2019",="108.36",="108.39",="107.23",="107.35",
="JPY",="19/06/2019",="108.46",="108.62",="108.24",="108.36",
="JPY",="18/06/2019",="108.57",="108.68",="108.06",="108.46",
="JPY",="17/06/2019",="108.48",="108.72",="108.39",="108.57",
="JPY",="12/06/2019",="108.46",="108.57",="108.22",="108.5",
="JPY",="11/06/2019",="108.55",="108.8",="108.32",="108.46",
="JPY",="10/06/2019",="108.55",="108.72",="108.37",="108.55",
="JPY",="07/06/2019",="108.2",="108.62",="107.88",="108.19",
="JPY",="06/06/2019",="108.32",="108.49",="108.03",="108.2",
="JPY",="04/06/2019",="108.23",="108.38",="107.82",="108.32",
="JPY",="03/06/2019",="108.37",="108.45",="108.07",="108.27",
="JPY",="31/05/2019",="109.69",="109.7",="108.28",="108.29",
="JPY",="30/05/2019",="109.37",="109.93",="109.36",="109.69",
="JPY",="29/05/2019",="109.54",="109.56",="109.15",="109.37",
="JPY",="28/05/2019",="109.53",="109.63",="109.21",="109.54",
="JPY",="27/05/2019",="109.32",="109.58",="109.28",="109.53",
="JPY",="24/05/2019",="109.52",="109.75",="109.27",="109.31",
="JPY",="23/05/2019",="110.25",="110.36",="109.51",="109.52",
="JPY",="22/05/2019",="110.66",="110.67",="110.25",="110.25",
="JPY",="21/05/2019",="109.97",="110.66",="109.94",="110.66",
="JPY",="20/05/2019",="110.1",="110.32",="109.81",="109.97",
="JPY",="17/05/2019",="109.85",="110.19",="109.5",="110.08",
="JPY",="16/05/2019",="109.44",="109.97",="109.34",="109.85",
="JPY",="15/05/2019",="109.66",="109.71",="109.16",="109.44",
="JPY",="14/05/2019",="109.14",="109.77",="109.1",="109.66",
="JPY",="13/05/2019",="109.78",="109.83",="109.02",="109.14",
="JPY",="10/05/2019",="109.79",="110.05",="109.48",="109.95",
="JPY",="09/05/2019",="110.14",="110.23",="109.47",="109.79",
="JPY",="08/05/2019",="110.34",="110.36",="109.9",="110.14",
="JPY",="07/05/2019",="110.81",="110.96",="110.31",="110.34",
="JPY",="06/05/2019",="110.72",="110.96",="110.28",="110.81",
="JPY",="03/05/2019",="111.5",="111.69",="111.07",="111.1",
="JPY",="02/05/2019",="111.16",="111.67",="111.05",="111.5",
="JPY",="30/04/2019",="111.32",="111.55",="111.13",="111.16",
="JPY",="26/04/2019",="111.6",="111.9",="111.55",="111.8",
="JPY",="25/04/2019",="111.92",="112.4",="111.38",="111.58",
="JPY",="24/04/2019",="111.79",="111.98",="111.68",="111.92",
="JPY",="23/04/2019",="111.94",="112.03",="111.65",="111.79",
="JPY",="22/04/2019",="111.93",="111.99",="111.85",="111.94",
="JPY",="18/04/2019",="111.99",="112.01",="111.9",="111.92",
="JPY",="16/04/2019",="112",="112.17",="111.92",="112",
="JPY",="15/04/2019",="112.01",="112.1",="111.89",="111.97",
="JPY",="12/04/2019",="111.57",="112.09",="111.56",="112.02",
="JPY",="11/04/2019",="110.87",="111.58",="110.84",="111.57",
="JPY",="10/04/2019",="111.13",="111.28",="110.87",="110.87",
="JPY",="09/04/2019",="111.46",="111.58",="110.98",="111.13",
="JPY",="08/04/2019",="111.71",="111.77",="111.28",="111.46",
="JPY",="05/04/2019",="111.55",="111.82",="111.51",="111.73",
="JPY",="04/04/2019",="111.47",="111.63",="111.34",="111.55",
="JPY",="03/04/2019",="111.35",="111.58",="111.21",="111.47",
="JPY",="02/04/2019",="111.42",="111.46",="111.25",="111.35",
="JPY",="29/03/2019",="110.8",="111.44",="110.8",="111.42",
="JPY",="28/03/2019",="110.49",="110.83",="110.02",="110.57",
="JPY",="27/03/2019",="110.46",="110.71",="110.24",="110.49",
="JPY",="26/03/2019",="109.81",="110.69",="109.75",="110.46",
="JPY",="25/03/2019",="109.87",="110.24",="109.71",="109.81",
="JPY",="22/03/2019",="110.85",="110.9",="109.74",="109.92",
="JPY",="21/03/2019",="111.51",="111.51",="110.3",="110.85",
="JPY",="19/03/2019",="111.43",="111.48",="111.16",="111.37",
="JPY",="18/03/2019",="111.46",="111.63",="111.3",="111.43",
="JPY",="15/03/2019",="111.74",="111.9",="111.39",="111.48",
="JPY",="14/03/2019",="111.24",="111.83",="111.01",="111.74",
="JPY",="13/03/2019",="111.31",="111.47",="111.14",="111.24",
="JPY",="11/03/2019",="111.12",="111.31",="110.88",="111.22",
="JPY",="08/03/2019",="111.63",="111.69",="110.79",="111.17",
="JPY",="07/03/2019",="111.69",="111.86",="111.48",="111.63",
="JPY",="06/03/2019",="111.92",="111.95",="111.62",="111.69",
="JPY",="05/03/2019",="111.72",="112.14",="111.68",="111.92",
="JPY",="01/03/2019",="111.77",="112.01",="111.64",="111.72",
="JPY",="28/02/2019",="110.95",="111.44",="110.66",="111.33",
="JPY",="27/02/2019",="110.72",="110.99",="110.36",="110.95",
="JPY",="26/02/2019",="111.19",="111.2",="110.67",="110.72",
="JPY",="25/02/2019",="110.69",="111.24",="110.58",="111.19",
="JPY",="22/02/2019",="110.8",="110.91",="110.56",="110.69",
="JPY",="21/02/2019",="110.67",="110.9",="110.57",="110.8",
