Currency,Date,Open,High,Low,Close
EUR,16/04/2009,1.3227,1.3268,1.3127,1.3186
EUR,15/04/2009,1.3259,1.3297,1.3147,1.3227
EUR,14/04/2009,1.3368,1.3381,1.3226,1.3259
EUR,13/04/2009,1.3187,1.3392,1.3127,1.3368
EUR,10/04/2009,1.3169,1.3189,1.309,1.3189
EUR,08/04/2009,1.3272,1.3308,1.3148,1.3282
EUR,07/04/2009,1.3416,1.342,1.3227,1.3272
EUR,06/04/2009,1.3475,1.3582,1.3358,1.3416
EUR,03/04/2009,1.3461,1.3495,1.3365,1.3486
EUR,02/04/2009,1.3249,1.3517,1.3224,1.3461
EUR,01/04/2009,1.325,1.3286,1.3167,1.3249
EUR,31/03/2009,1.3199,1.3342,1.3175,1.325
EUR,30/03/2009,1.3293,1.3295,1.3114,1.3199
EUR,26/03/2009,1.3526,1.3591,1.3257,1.3287
EUR,25/03/2009,1.3468,1.3651,1.3419,1.3583
EUR,24/03/2009,1.3633,1.3678,1.3431,1.3468
EUR,23/03/2009,1.3581,1.3736,1.3486,1.3633
EUR,20/03/2009,1.3665,1.3727,1.3518,1.3582
EUR,19/03/2009,1.3474,1.3738,1.3417,1.3665
EUR,18/03/2009,1.3017,1.3498,1.2987,1.3474
EUR,17/03/2009,1.2967,1.3033,1.2932,1.3017
EUR,16/03/2009,1.289,1.3072,1.2834,1.2968
EUR,13/03/2009,1.2913,1.2958,1.2863,1.2928
EUR,12/03/2009,1.2837,1.2945,1.2732,1.2913
EUR,11/03/2009,1.2682,1.2864,1.2617,1.2837
EUR,09/03/2009,1.265,1.2727,1.2556,1.2611
EUR,06/03/2009,1.254,1.2754,1.2533,1.2653
EUR,05/03/2009,1.2661,1.2664,1.2481,1.254
EUR,04/03/2009,1.2561,1.2663,1.2457,1.2661
EUR,03/03/2009,1.2578,1.2678,1.2522,1.2561
EUR,02/03/2009,1.264,1.2646,1.2546,1.2578
EUR,27/02/2009,1.2744,1.275,1.2604,1.2669
EUR,26/02/2009,1.2723,1.2811,1.2682,1.2744
EUR,25/02/2009,1.2846,1.2899,1.2691,1.2723
EUR,24/02/2009,1.2694,1.2877,1.2663,1.2846
EUR,23/02/2009,1.2844,1.2992,1.2692,1.2694
EUR,20/02/2009,1.2674,1.2884,1.2558,1.2826
EUR,19/02/2009,1.253,1.276,1.2527,1.2674
EUR,18/02/2009,1.2582,1.2641,1.2513,1.253
EUR,17/02/2009,1.2801,1.2804,1.2563,1.2582
EUR,16/02/2009,1.2854,1.2864,1.2727,1.2801
EUR,13/02/2009,1.2861,1.2943,1.2821,1.2862
EUR,12/02/2009,1.2906,1.2944,1.2722,1.2861
EUR,11/02/2009,1.2913,1.2997,1.2834,1.2906
EUR,10/02/2009,1.3003,1.3075,1.281,1.2913
EUR,09/02/2009,1.2915,1.3093,1.2874,1.3003
EUR,06/02/2009,1.279,1.2992,1.2747,1.294
EUR,05/02/2009,1.2849,1.2905,1.2761,1.279
EUR,04/02/2009,1.304,1.307,1.2813,1.2849
EUR,03/02/2009,1.2843,1.3058,1.2801,1.304
EUR,02/02/2009,1.2799,1.2899,1.2706,1.2843
EUR,30/01/2009,1.2954,1.2958,1.2764,1.2813
EUR,29/01/2009,1.3166,1.3179,1.2933,1.2954
EUR,28/01/2009,1.316,1.3327,1.3103,1.3166
EUR,27/01/2009,1.3189,1.333,1.3118,1.316
EUR,26/01/2009,1.2983,1.3208,1.2862,1.3189
EUR,23/01/2009,1.3001,1.3035,1.2765,1.2975
EUR,22/01/2009,1.3023,1.3082,1.2908,1.3001
EUR,21/01/2009,1.2904,1.3086,1.2825,1.3023
EUR,20/01/2009,1.3069,1.3104,1.2856,1.2904
EUR,19/01/2009,1.3279,1.3387,1.3067,1.3069
EUR,16/01/2009,1.3115,1.3344,1.3111,1.3267
EUR,15/01/2009,1.3191,1.3241,1.3026,1.3115
EUR,14/01/2009,1.3182,1.3336,1.3093,1.3191
EUR,13/01/2009,1.3362,1.3374,1.3141,1.3182
EUR,12/01/2009,1.347,1.3489,1.3289,1.3362
EUR,09/01/2009,1.3702,1.3751,1.3415,1.3476
EUR,08/01/2009,1.3645,1.3799,1.3535,1.3702
EUR,07/01/2009,1.3536,1.3747,1.3432,1.3644
EUR,06/01/2009,1.3635,1.3659,1.3313,1.3536
EUR,05/01/2009,1.3909,1.3963,1.3547,1.3635
EUR,02/01/2009,1.4045,1.4058,1.3841,1.3921
EUR,01/01/2009,1.3971,1.4045,1.3944,1.4045
EUR,31/12/2008,1.4057,1.4148,1.3852,1.3971
EUR,30/12/2008,1.3927,1.4221,1.3916,1.4057
EUR,29/12/2008,1.4069,1.4364,1.3921,1.3927
EUR,26/12/2008,1.402,1.4119,1.3989,1.4028
EUR,24/12/2008,1.4013,1.4132,1.3938,1.4025
EUR,23/12/2008,1.3944,1.4021,1.3921,1.3928
EUR,22/12/2008,1.3925,1.4125,1.3903,1.3944
EUR,19/12/2008,1.4244,1.431,1.3826,1.3912
EUR,18/12/2008,1.4419,1.4719,1.4186,1.424
EUR,17/12/2008,1.4,1.4437,1.3995,1.4419
EUR,16/12/2008,1.3688,1.4147,1.363,1.4002
EUR,15/12/2008,1.336,1.3722,1.3355,1.3688
EUR,12/12/2008,1.3352,1.3415,1.3251,1.3369
EUR,11/12/2008,1.3023,1.3405,1.3001,1.3352
EUR,10/12/2008,1.2927,1.307,1.2904,1.3023
EUR,09/12/2008,1.2964,1.3001,1.28,1.2927
EUR,08/12/2008,1.2725,1.2967,1.2715,1.2963
EUR,05/12/2008,1.2777,1.2799,1.2628,1.2718
EUR,04/12/2008,1.2716,1.2848,1.255,1.2777
EUR,03/12/2008,1.2713,1.2742,1.2603,1.2717
EUR,02/12/2008,1.261,1.2766,1.2563,1.2714
EUR,01/12/2008,1.271,1.2717,1.2583,1.2611
EUR,28/11/2008,1.2904,1.2957,1.2645,1.2691
EUR,27/11/2008,1.2881,1.2968,1.2861,1.2904
EUR,25/11/2008,1.2953,1.308,1.2804,1.3064
EUR,24/11/2008,1.259,1.2955,1.2568,1.2953
EUR,21/11/2008,1.2453,1.2638,1.2425,1.2587
EUR,20/11/2008,1.2489,1.2593,1.2434,1.2453
EUR,19/11/2008,1.2618,1.2814,1.2484,1.2489
EUR,18/11/2008,1.265,1.27,1.2567,1.2618
EUR,17/11/2008,1.2587,1.2741,1.2513,1.265
EUR,14/11/2008,1.2769,1.2828,1.2573,1.2605
EUR,13/11/2008,1.2505,1.2855,1.2389,1.2769
EUR,12/11/2008,1.2522,1.2632,1.2468,1.2505
EUR,11/11/2008,1.2748,1.28,1.2507,1.2522
EUR,10/11/2008,1.2786,1.2927,1.2718,1.2748
EUR,07/11/2008,1.2715,1.285,1.2653,1.2718
EUR,06/11/2008,1.2955,1.2956,1.2679,1.2715
EUR,05/11/2008,1.2981,1.3116,1.2794,1.2954
EUR,04/11/2008,1.2643,1.3048,1.2527,1.2981
EUR,03/11/2008,1.275,1.2898,1.2595,1.2643
EUR,31/10/2008,1.2913,1.2924,1.2668,1.2726
EUR,30/10/2008,1.2964,1.3292,1.2805,1.2915
EUR,29/10/2008,1.2683,1.2991,1.2626,1.2963
EUR,28/10/2008,1.2493,1.2742,1.233,1.2683
EUR,27/10/2008,1.2585,1.2686,1.2334,1.2493
EUR,24/10/2008,1.2935,1.3006,1.2497,1.2623
EUR,23/10/2008,1.2854,1.2935,1.2728,1.2934
EUR,22/10/2008,1.3063,1.3077,1.2743,1.2855
EUR,21/10/2008,1.3343,1.3358,1.3051,1.3063
EUR,20/10/2008,1.3406,1.353,1.3288,1.3344
EUR,17/10/2008,1.3456,1.3518,1.3387,1.341
EUR,16/10/2008,1.35,1.3538,1.3346,1.3456
EUR,15/10/2008,1.3619,1.3687,1.3484,1.3499
EUR,14/10/2008,1.3582,1.3769,1.3576,1.3619
EUR,13/10/2008,1.35,1.3682,1.3457,1.3581
EUR,10/10/2008,1.3604,1.3651,1.3259,1.3408
EUR,09/10/2008,1.3653,1.3784,1.358,1.3604
EUR,08/10/2008,1.3589,1.3755,1.3544,1.3654
EUR,07/10/2008,1.3499,1.3743,1.3481,1.3588
EUR,06/10/2008,1.3719,1.3729,1.3444,1.3499
EUR,03/10/2008,1.3819,1.3907,1.3703,1.3772
EUR,02/10/2008,1.4009,1.4032,1.3748,1.3819
EUR,01/10/2008,1.4092,1.4174,1.3976,1.4009
EUR,30/09/2008,1.4434,1.4435,1.4009,1.4092
EUR,29/09/2008,1.4599,1.4636,1.4302,1.4434
EUR,26/09/2008,1.4608,1.4678,1.4556,1.4614
EUR,25/09/2008,1.4622,1.4768,1.4561,1.4609
EUR,24/09/2008,1.4647,1.4747,1.4611,1.4621
EUR,23/09/2008,1.4776,1.4825,1.4622,1.4648
EUR,22/09/2008,1.4469,1.4866,1.4437,1.4774
EUR,19/09/2008,1.4347,1.4498,1.4153,1.4466
EUR,18/09/2008,1.4326,1.4509,1.4279,1.4348
EUR,17/09/2008,1.4129,1.4384,1.4076,1.4326
EUR,16/09/2008,1.4243,1.4291,1.4073,1.4129
EUR,15/09/2008,1.4205,1.4481,1.4085,1.4243
EUR,12/09/2008,1.3999,1.4232,1.3974,1.4224
EUR,11/09/2008,1.3999,1.4001,1.3882,1.3998
EUR,10/09/2008,1.4133,1.4179,1.3993,1.3998
EUR,09/09/2008,1.4129,1.4226,1.4047,1.4133
EUR,08/09/2008,1.4281,1.4429,1.4054,1.4128
EUR,05/09/2008,1.4325,1.4348,1.4196,1.4267
EUR,04/09/2008,1.4496,1.4544,1.4316,1.4325
EUR,03/09/2008,1.452,1.4531,1.4385,1.4498
EUR,02/09/2008,1.4617,1.4617,1.4467,1.452
EUR,01/09/2008,1.4675,1.4727,1.4582,1.4617
EUR,29/08/2008,1.4707,1.4767,1.464,1.4673
EUR,28/08/2008,1.4727,1.4811,1.4672,1.4706
EUR,27/08/2008,1.4654,1.4776,1.4633,1.4727
EUR,26/08/2008,1.4754,1.476,1.4571,1.4653
EUR,25/08/2008,1.4783,1.4808,1.4697,1.4754
EUR,22/08/2008,1.49,1.4908,1.4758,1.4793
EUR,21/08/2008,1.4747,1.4903,1.4732,1.4899
EUR,20/08/2008,1.4775,1.4806,1.4673,1.4747
EUR,19/08/2008,1.4695,1.4793,1.4631,1.4776
EUR,18/08/2008,1.4685,1.4768,1.4647,1.4694
EUR,15/08/2008,1.4826,1.4826,1.4659,1.4687
EUR,14/08/2008,1.4918,1.4949,1.4778,1.4826
EUR,13/08/2008,1.4926,1.498,1.4843,1.4919
EUR,12/08/2008,1.491,1.4964,1.4816,1.4926
EUR,11/08/2008,1.5009,1.5083,1.4881,1.4909
EUR,08/08/2008,1.5324,1.5335,1.4998,1.5005
EUR,07/08/2008,1.5407,1.5502,1.531,1.5325
EUR,06/08/2008,1.5454,1.5516,1.5398,1.5408
EUR,05/08/2008,1.5576,1.5578,1.5447,1.5454
EUR,04/08/2008,1.5562,1.5631,1.5542,1.5576
EUR,01/08/2008,1.5603,1.5604,1.5515,1.5564
EUR,31/07/2008,1.5576,1.57,1.5569,1.5603
EUR,30/07/2008,1.5588,1.5617,1.5522,1.5576
EUR,29/07/2008,1.574,1.5757,1.5554,1.5588
EUR,28/07/2008,1.5708,1.5768,1.5684,1.5741
EUR,25/07/2008,1.5679,1.5754,1.5663,1.5708
EUR,24/07/2008,1.5699,1.5714,1.5628,1.5677
EUR,23/07/2008,1.5786,1.5798,1.567,1.5698
EUR,22/07/2008,1.5922,1.5944,1.5758,1.5786
EUR,21/07/2008,1.5844,1.593,1.5829,1.5922
EUR,18/07/2008,1.5865,1.5887,1.5807,1.5847
EUR,17/07/2008,1.5826,1.5894,1.5783,1.5863
EUR,16/07/2008,1.5912,1.5948,1.5801,1.5826
EUR,15/07/2008,1.5907,1.6038,1.5866,1.5912
EUR,14/07/2008,1.5968,1.5971,1.5842,1.5908
EUR,11/07/2008,1.5788,1.5943,1.5766,1.5937
EUR,10/07/2008,1.5743,1.5802,1.5691,1.5788
EUR,09/07/2008,1.567,1.575,1.5651,1.5743
EUR,08/07/2008,1.5726,1.574,1.5636,1.567
EUR,07/07/2008,1.57,1.5753,1.5612,1.5728
EUR,04/07/2008,1.5702,1.5727,1.5655,1.5706
EUR,03/07/2008,1.5881,1.5909,1.5682,1.5703
EUR,02/07/2008,1.5793,1.5888,1.5777,1.5882
EUR,01/07/2008,1.5754,1.5827,1.5723,1.5792
EUR,30/06/2008,1.5783,1.5835,1.5732,1.5755
EUR,27/06/2008,1.5757,1.5793,1.5719,1.5793
EUR,26/06/2008,1.5666,1.5768,1.563,1.5756
EUR,25/06/2008,1.5568,1.5687,1.5537,1.5667
EUR,24/06/2008,1.5517,1.5622,1.5493,1.5568
EUR,23/06/2008,1.5622,1.5636,1.5469,1.5518
EUR,20/06/2008,1.5505,1.5651,1.5493,1.5606
EUR,19/06/2008,1.5534,1.5586,1.5466,1.5505
EUR,18/06/2008,1.5511,1.5538,1.5464,1.5535
EUR,17/06/2008,1.5476,1.5552,1.5461,1.551
EUR,16/06/2008,1.5406,1.5518,1.5347,1.5477
EUR,13/06/2008,1.5438,1.5483,1.5302,1.5381
EUR,12/06/2008,1.5548,1.5566,1.538,1.5439
EUR,11/06/2008,1.5467,1.5587,1.5451,1.555
EUR,10/06/2008,1.5646,1.5654,1.5441,1.5467
EUR,09/06/2008,1.5785,1.5842,1.562,1.5647
EUR,06/06/2008,1.5594,1.5778,1.5573,1.5777
EUR,05/06/2008,1.5442,1.5601,1.5366,1.5593
EUR,04/06/2008,1.5445,1.5483,1.542,1.5432
EUR,03/06/2008,1.5538,1.5628,1.5411,1.5445
EUR,02/06/2008,1.5568,1.559,1.5487,1.5537
EUR,30/05/2008,1.5519,1.557,1.5462,1.5554
EUR,29/05/2008,1.5638,1.5664,1.5486,1.5519
EUR,28/05/2008,1.5692,1.5759,1.5609,1.5639
EUR,27/05/2008,1.577,1.5818,1.5683,1.5691
EUR,26/05/2008,1.5768,1.5792,1.5741,1.577
EUR,23/05/2008,1.5733,1.5794,1.5697,1.5763
EUR,22/05/2008,1.5795,1.5813,1.5693,1.5733
EUR,21/05/2008,1.5647,1.5796,1.5632,1.5795
EUR,20/05/2008,1.5511,1.568,1.5503,1.5647
EUR,19/05/2008,1.5595,1.5633,1.5486,1.551
EUR,16/05/2008,1.5448,1.5601,1.5437,1.5578
EUR,15/05/2008,1.5475,1.5547,1.542,1.5448
EUR,14/05/2008,1.5475,1.5486,1.5396,1.5473
EUR,13/05/2008,1.5553,1.5566,1.5431,1.5475
EUR,12/05/2008,1.5454,1.557,1.5367,1.5554
EUR,09/05/2008,1.5394,1.5489,1.5392,1.5482
EUR,08/05/2008,1.5393,1.544,1.5286,1.5394
EUR,07/05/2008,1.5531,1.5539,1.5367,1.5393
EUR,06/05/2008,1.5497,1.5594,1.5453,1.5533
EUR,05/05/2008,1.5436,1.5519,1.5424,1.5497
EUR,02/05/2008,1.5474,1.5498,1.5361,1.5424
EUR,01/05/2008,1.5624,1.5644,1.543,1.5475
EUR,30/04/2008,1.5572,1.5644,1.5518,1.5622
EUR,29/04/2008,1.5657,1.5664,1.5541,1.5573
EUR,28/04/2008,1.5608,1.569,1.5594,1.5658
EUR,25/04/2008,1.5682,1.5707,1.5556,1.563
EUR,24/04/2008,1.5889,1.5897,1.5638,1.5683
EUR,23/04/2008,1.5992,1.6002,1.5861,1.5888
EUR,22/04/2008,1.5912,1.6018,1.5836,1.5992
EUR,21/04/2008,1.5806,1.5948,1.5792,1.5912
EUR,18/04/2008,1.5908,1.5956,1.5712,1.5817
EUR,17/04/2008,1.5947,1.5983,1.5847,1.5908
EUR,16/04/2008,1.579,1.5979,1.576,1.5948
EUR,15/04/2008,1.5832,1.5875,1.5752,1.5791
EUR,14/04/2008,1.5693,1.5886,1.5672,1.5832
EUR,11/04/2008,1.5742,1.5854,1.5739,1.581
EUR,10/04/2008,1.5833,1.5911,1.5725,1.5742
EUR,09/04/2008,1.5711,1.5865,1.5684,1.5832
EUR,08/04/2008,1.5711,1.58,1.5674,1.5712
EUR,07/04/2008,1.5731,1.5738,1.5628,1.5711
EUR,04/04/2008,1.5685,1.5774,1.5639,1.5738
EUR,03/04/2008,1.5687,1.5698,1.5511,1.5684
EUR,02/04/2008,1.5614,1.5702,1.5535,1.5685
EUR,01/04/2008,1.5788,1.5789,1.5564,1.5613
